feature,importance,mean,std,min,max
t042_y_max,0.005020422368680701,0.5265884402326765,0.3711202474094109,0.0,1.0
t059_stroke_progress,0.00497750567551831,2.647700809482559,0.690173353982985,1.0,5.123194694519043
t049_y_max,0.0049770586398791465,0.578939346783698,0.3951744916687537,0.0,1.0
t048_y_min,0.004927837100983151,0.5743708931269547,0.3932762285082781,0.0,1.0
t056_stroke_progress,0.004791099079207524,2.4530687297957825,0.683531140286098,0.8460401892662048,4.793737888336182
t056_y_mean,0.004788159706404815,0.644607371285157,0.4074517878389976,0.0,1.0
t057_stroke_progress,0.004763394577259934,2.528871604740857,0.6792274443509829,1.0,4.793737888336182
t022_y_mean,0.004745232776734924,0.3420841372145184,0.3566557302716688,0.0,1.0
t047_y_min,0.004736170580580562,0.5675312941211212,0.39005096035259496,0.0,1.0
t040_y_max,0.004733132199602551,0.5103943373636896,0.36641891691328726,0.0,1.0
t057_y_mean,0.004714146009835213,0.6601086601299564,0.41040170646708,0.0,1.0
t036_y_max,0.00470850534895342,0.4740432587405852,0.36475048242182806,0.0,1.0
t058_cumulative_distance,0.004642967875237459,2.5627111348497915,0.6739150597639838,1.0,5.123194694519043
t051_y_min,0.00448722898199506,0.5973168009521062,0.40243938770132914,0.0,1.0
t057_y_max,0.004461088611762402,0.6601086600297743,0.41040170671759313,0.0,1.0
t037_y_max,0.004412449001932906,0.48769134566766686,0.36553839114449027,0.0,1.0
t053_y_mean,0.004298828813411066,0.614361849755969,0.4048517421258784,0.0,1.0
t034_y_max,0.004269713350666795,0.4498963838933867,0.3630436164692026,0.0,1.0
t035_y_mean,0.004243021306633046,0.4649360688906942,0.36455461189224886,0.0,1.0
t026_y_max,0.004229360992076671,0.3489398563760277,0.3489610780149585,0.0,1.0
t059_y_min,0.00422203485307695,0.6759374802768884,0.4074497105752291,0.0097751710563898,1.0
t048_y_max,0.004128075005585266,0.5743708931269547,0.3932762285082781,0.0,1.0
t024_y_min,0.00406459252422812,0.3454353129650759,0.35232484448979573,0.0,1.0
t031_y_max,0.004014053285373391,0.41037126282959124,0.36131824967414516,0.0,1.0
t029_y_mean,0.003996772695250272,0.3792206306631985,0.35707450688965414,0.0,1.0
t055_y_min,0.003907809963920672,0.6329422491107255,0.40619787765463217,0.0,1.0
t045_y_mean,0.003880397189571688,0.55327412616276,0.38359652664808147,0.0,1.0
t036_y_mean,0.003878074392487617,0.47404326054247176,0.36475048430377693,0.0,1.0
t056_cumulative_distance,0.0038779375942541027,2.4530687297957825,0.683531140286098,0.8460401892662048,4.793737888336182
t055_y_max,0.0038562311960520157,0.6329422491107255,0.40619787765463217,0.0,1.0
t036_y_min,0.00383598334035408,0.4740432587405852,0.36475048242182806,0.0,1.0
t032_y_min,0.003822497610134458,0.42559586489745654,0.3618312520125713,0.0,1.0
t049_y_mean,0.0038174674454747016,0.578939345580585,0.3951744904587061,0.0,1.0
t055_y_mean,0.0038089987915469786,0.6329422499281373,0.40619787728129986,0.0,1.0
t039_y_mean,0.0036664553636902458,0.5050066262199747,0.36553669637841424,0.0,1.0
t024_y_max,0.0036546366860784477,0.3454353129650759,0.35232484448979573,0.0,1.0
t041_y_mean,0.0036040735744482027,0.520298792002166,0.36940533112767315,0.0,1.0
t057_y_min,0.0035789077899049384,0.6601086600297743,0.41040170671759313,0.0,1.0
t029_y_max,0.0035696601498910853,0.37922063120900545,0.35707450731349766,0.0,1.0
t001_y_max,0.0035536290172033733,0.15298654023535638,0.200954941753578,0.0,0.9774266481399536
t058_y_max,0.0035474060152958617,0.6670170904972045,0.4111285901306995,0.0,1.0
t028_x_mean,0.0035351691748822826,0.6253774203712573,0.32861225503251745,0.0,1.0
t038_y_max,0.0034895434249952785,0.4977670638679167,0.36654571625350285,0.0,1.0
t033_y_max,0.0034776297461545647,0.43785369113751826,0.36379784266349974,0.0,1.0
t027_y_max,0.003472430315104506,0.3639709360933718,0.35326265308910176,0.0,1.0
t032_y_max,0.0034526289627434354,0.42559586489745654,0.3618312520125713,0.0,1.0
t024_y_mean,0.0034459231375914006,0.3454353139050253,0.35232484643979034,0.0,1.0
t058_y_min,0.0034253644839099253,0.6670170904972045,0.4111285901306995,0.0,1.0
t033_x_mean,0.0034223965433831404,0.6265132243310907,0.3043544791914118,0.0,1.0
t039_y_max,0.0034217241759118325,0.505006625992617,0.36553669673112765,0.0,1.0
t028_x_min,0.003399019299786194,0.6253774205378565,0.32861225458048077,0.0,1.0
t021_y_mean,0.003397893947582339,0.3488130942300571,0.36128757994865857,0.0,1.0
t023_y_max,0.0033734377096085112,0.33810971170576637,0.3516035416022432,0.0,1.0
t042_y_min,0.003372875444908898,0.5265884402326765,0.3711202474094109,0.0,1.0
t028_y_mean,0.003307564833243257,0.3735185973791487,0.3549821108830338,0.0,1.0
t028_y_max,0.0032360439595711036,0.37351859844469676,0.3549821119230234,0.0,1.0
t055_cumulative_distance,0.0032225660734757386,2.395355211643584,0.6813854672709274,0.8460401892662048,4.702391147613525
t045_y_min,0.0032182542149921927,0.5532741255863417,0.38359652642495295,0.0,1.0
t046_y_max,0.003201557990171818,0.5588046980672979,0.3865058142234849,0.0,1.0
t025_y_max,0.0031534702264744497,0.34501201202851756,0.3481005497464256,0.0,1.0
t028_x_max,0.0031466065068669028,0.6253774205378565,0.32861225458048077,0.0,1.0
t054_stroke_progress,0.003126713090874718,2.3442893751114013,0.677138550756727,0.8460401296615601,4.672733783721924
t055_stroke_length,0.0031163860467186997,2.395355211643584,0.6813854672709274,0.8460401892662048,4.702391147613525
t059_y_mean,0.003069396420248217,0.6759374805188096,0.40744971098143756,0.0097751719877123,1.0
