feature,importance
t007_vy,0.04423885804756147
t019_vx,0.02770034058254874
t007_angle,0.02586711125697672
t009_vy,0.0256462994405663
t022_vx,0.019028158338768045
t005_vy,0.017715352062253074
orig_frames,0.016979647231636464
t040_y,0.01663330243760094
t010_vy,0.014885221931635443
t025_vx,0.014558113577983374
t024_vx,0.014202928300105338
t020_vx,0.013989912123179857
t038_pressure,0.01349689345938844
t036_y,0.012508446132871482
t040_x,0.012231394004372634
t038_active_points,0.011970230352666679
t017_vx,0.011894463079550003
t008_vy,0.01188812729779449
t037_pressure,0.011805428299187154
t026_vx,0.01148780982108822
t037_y,0.011147343626979474
t010_y,0.010804227262687734
t038_x,0.010246614820035211
t040_pressure,0.010206215832540552
t006_vy,0.010188500136094979
t023_vx,0.009889401360395308
t036_x,0.009732603114452324
t040_active_points,0.009663148886069985
t042_y,0.00936279227182625
t021_vx,0.009349414398430997
t037_x,0.009317909630373364
t009_angle,0.009184732157265155
t012_y,0.00909278888060694
t012_angle,0.00885849931478403
t010_angle,0.008839292599121296
t004_vy,0.00858499504966371
t009_y,0.008516873981258546
t009_vx,0.008339915237680393
t011_y,0.008023264247407468
t027_vx,0.007602302625376203
t036_active_points,0.007456271048955146
t008_y,0.007326977930581521
t007_vx,0.006893971671527324
t042_active_points,0.006587284729842197
t041_pressure,0.006527571170254474
t043_y,0.006523484203810856
t007_y,0.006521989951615292
t041_y,0.0064456931975166165
t000_x,0.0063290431003185914
t003_y,0.006093469787969207
t039_active_points,0.006078602398734954
t043_x,0.006033174742330883
t019_vy,0.005971173401639349
t044_x,0.005970143753695423
t002_x,0.005909957893601118
t004_x,0.005893695002604844
t028_vx,0.005860874897208755
t041_active_points,0.005797494675114363
t009_x,0.005749806249951574
t018_vy,0.005632803376920396
t043_pressure,0.005600020051532489
t001_x,0.005397408503821527
t005_y,0.005302214289186005
t003_vy,0.0051723907748305355
t038_y,0.005162021947611091
t010_vx,0.004573775827287785
t012_vy,0.00448532671256859
t016_vy,0.004454647629470894
t037_active_points,0.00423032393974548
t014_y,0.004097294995396997
t003_x,0.004042612675652275
t005_x,0.0038686716255954415
t017_vy,0.003695977111667993
t041_x,0.003589351468595782
t037_angle,0.0035419226015491723
t006_y,0.0034745813525491717
t019_x,0.0034622542228953165
t035_active_points,0.0034480539178363303
t035_x,0.0034099619962915675
t013_y,0.0033665656397739944
t039_y,0.0032999730985146707
t024_y,0.003295293085267185
t029_vx,0.003258265944617775
t002_vy,0.003163571976147614
t021_y,0.003077492039125539
t034_y,0.0030291496524893604
t039_pressure,0.0029891517209924504
t006_x,0.002950827461356413
t040_angle,0.0029442586278893806
t042_pressure,0.0028385861597051624
t007_x,0.002822625122689224
t012_vx,0.002815967245000046
t000_y,0.0028094283713062536
t017_y,0.0027506187690365335
t004_y,0.0027377393479045926
t008_angle,0.002570195900837599
t020_y,0.0024825893696724475
t042_x,0.002477435448956614
t018_vx,0.0024694782526412137
t022_y,0.00244578558011269
t001_y,0.002420097092565097
t046_y,0.002384826990244994
t002_y,0.002305296287055818
t036_angle,0.002304627621790211
t005_vx,0.0022938352548492126
t005_angle,0.00228973241451806
t044_active_points,0.002288437899627514
t004_vx,0.0022724567814877234
t045_pressure,0.002192203757036319
t008_vx,0.0021557800328741482
t020_vy,0.0021486609523970446
t044_pressure,0.0020772298836935293
t036_vy,0.0020595783661642836
t039_x,0.0020454446577950047
t035_y,0.002042624358490791
t044_y,0.002031308982533027
t030_vx,0.0019231798027721817
t010_x,0.0019108040152083794
t012_delta_s,0.0019031098913729928
t008_x,0.0019029099018797765
t025_y,0.0018258555812982265
t023_x,0.0017737764337520717
t045_y,0.0017638117713357012
t031_vy,0.0017392052942511666
t038_angle,0.0017309068995501494
t015_y,0.0017304819021332503
t011_vx,0.0017224477976581505
t020_x,0.001697268504916491
t024_x,0.0016865448711008055
t036_vx,0.0016823532635440765
t034_x,0.001635277796988673
t019_angle,0.0016162387862912909
t036_pressure,0.0016114505347209816
t043_active_points,0.0015964129293066062
t033_x,0.0015787347758699798
t030_y,0.0015396660280031825
t014_vx,0.0014723076484577152
t026_vy,0.0014518662513865258
t028_y,0.0014488953365426078
t022_angle,0.001430860636078629
t019_y,0.0014260505679433775
t016_y,0.0014228917226220932
t006_vx,0.0014205832921824883
t030_delta_s,0.001398952728757738
t032_vy,0.0013922243666394031
t033_y,0.0013859234447599175
t032_y,0.0013635775083317178
t023_y,0.0013567234278163208
t028_delta_s,0.0013217683322420844
t046_angle,0.0013100806603516958
t044_angle,0.0013096850066172372
t014_x,0.00129206619790423
t007_delta_s,0.0012652202449447726
t024_angle,0.0012002254929603534
t033_pressure,0.0011918780822936228
t021_angle,0.0011918336863301145
t035_angle,0.0011908750820095546
t028_vy,0.001178235941779887
t014_delta_s,0.0011424853344203752
t031_y,0.0011351767581526675
t025_vy,0.001132628922349351
t022_x,0.0011169876842924186
t026_y,0.00111582619660115
t029_y,0.0011054568657495709
t043_delta_s,0.0010797621655944936
t021_x,0.0010726010374389548
t018_x,0.0010465237832247636
t034_angle,0.0010418091838053473
t016_angle,0.001041125410242072
t012_x,0.0010364327445265338
t016_x,0.001031538196542024
t046_x,0.0010261234710424226
t047_y,0.000998440839076726
t028_angle,0.000997198845784287
t045_active_points,0.0009958965937648188
t013_angle,0.000979951567861499
t022_delta_s,0.0009667673155362834
t049_y,0.0009666001920486487
t016_delta_s,0.0009519743792150304
t034_pressure,0.0009497113546173856
t045_x,0.0009364083245524729
t034_active_points,0.0009317484973034708
t037_delta_s,0.0009289464485420174
t030_vy,0.0009170822639517064
t008_delta_s,0.000909438928458299
t010_delta_s,0.0008988469508371932
t032_pressure,0.0008929523261530599
t030_active_points,0.0008918444195923941
t029_vy,0.0008868053319920678
t031_vx,0.0008619967849473188
t030_x,0.0008492794789813976
t032_vx,0.0008467887735214269
t024_delta_s,0.0008413555824444245
t003_angle,0.0008369687040303853
t013_vy,0.000835694941821498
